@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric
@attribute outputs-10 numeric
@attribute outputs-11 numeric
@attribute outputs-12 numeric
@attribute outputs-13 {0,1,2,3,4,5,6,7,8,9,10}
@attribute outputs-14 {0,1,2,3,4,5,6,7,8,9,10}

@data
68,'2020/04/15 17:22:17:223',1,0.616865,0.520688,358.046722,0,0.448993,0.576663,0.795772,0.740623,0.34606,0.554191,0.481952,0.065081,0.088487,0.270815,0.430761,0.161503,10,7
69,'2020/04/15 17:22:39:379',2,0.822842,0.80668,0.303189,0,0.556825,0.067,0.714682,0.190441,0.798703,0.615444,0.985961,0.049494,0.612405,0.838603,0.86401,0.476572,4,1
70,'2020/04/15 17:22:39:413',2,0.822842,0.811208,0.303189,0,0.556825,0.067,0.714682,0.190441,0.798703,0.615444,0.985961,0.049494,0.612405,0.838603,0.86401,0.476572,4,1
71,'2020/04/15 17:22:39:471',2,0.825098,0.811208,0.303189,0,0.556825,0.067,0.714682,0.190441,0.798703,0.615444,0.985961,0.049494,0.612405,0.838603,0.86401,0.476572,4,1
72,'2020/04/15 17:22:39:480',2,0.825098,0.811208,0.303189,0,0.556825,0.067,0.714682,0.190441,0.798703,0.615444,0.985961,0.049494,0.612405,0.838603,0.86401,0.476572,4,1
73,'2020/04/15 17:22:39:514',2,0.825098,0.811208,0.303189,0,0.556825,0.067,0.714682,0.190441,0.798703,0.615444,0.985961,0.049494,0.612405,0.838603,0.86401,0.476572,4,1
74,'2020/04/15 17:22:39:541',2,0.825098,0.811208,0.303189,0,0.556825,0.067,0.714682,0.190441,0.798703,0.615444,0.985961,0.049494,0.612405,0.838603,0.86401,0.476572,4,1
75,'2020/04/15 17:22:39:573',2,0.825098,0.811208,0.303189,0,0.556825,0.067,0.714682,0.190441,0.798703,0.615444,0.985961,0.049494,0.612405,0.838603,0.86401,0.476572,4,1
76,'2020/04/15 17:22:39:604',2,0.825098,0.811208,0.303189,0,0.556825,0.067,0.714682,0.190441,0.798703,0.615444,0.985961,0.049494,0.612405,0.838603,0.86401,0.476572,4,1
77,'2020/04/15 17:22:39:636',2,0.825098,0.811208,0.303189,0,0.556825,0.067,0.714682,0.190441,0.798703,0.615444,0.985961,0.049494,0.612405,0.838603,0.86401,0.476572,4,1
78,'2020/04/15 17:22:39:669',2,0.825098,0.811208,0.303189,0,0.556825,0.067,0.714682,0.190441,0.798703,0.615444,0.985961,0.049494,0.612405,0.838603,0.86401,0.476572,4,1
79,'2020/04/15 17:22:39:702',2,0.827256,0.807423,0.303189,0,0.556825,0.067,0.714682,0.190441,0.798703,0.615444,0.985961,0.049494,0.612405,0.838603,0.86401,0.476572,4,1
80,'2020/04/15 17:22:39:731',2,0.827256,0.807423,0.303189,0,0.556825,0.067,0.714682,0.190441,0.798703,0.615444,0.985961,0.049494,0.612405,0.838603,0.86401,0.476572,4,1
81,'2020/04/15 17:22:39:764',2,0.827256,0.807423,0.303189,0,0.556825,0.067,0.714682,0.190441,0.798703,0.615444,0.985961,0.049494,0.612405,0.838603,0.86401,0.476572,4,1
82,'2020/04/15 17:22:39:800',2,0.827256,0.807423,0.303189,0,0.556825,0.067,0.714682,0.190441,0.798703,0.615444,0.985961,0.049494,0.612405,0.838603,0.86401,0.476572,4,1
83,'2020/04/15 17:22:39:827',2,0.827256,0.807423,0.303189,0,0.556825,0.067,0.714682,0.190441,0.798703,0.615444,0.985961,0.049494,0.612405,0.838603,0.86401,0.476572,4,1
84,'2020/04/15 17:22:39:875',2,0.827256,0.807423,0.303189,0,0.556825,0.067,0.714682,0.190441,0.798703,0.615444,0.985961,0.049494,0.612405,0.838603,0.86401,0.476572,4,1
85,'2020/04/15 17:22:39:906',2,0.827256,0.804414,0.303189,0,0.556825,0.067,0.714682,0.190441,0.798703,0.615444,0.985961,0.049494,0.612405,0.838603,0.86401,0.476572,4,1
86,'2020/04/15 17:22:39:943',2,0.827256,0.804414,0.303189,0,0.556825,0.067,0.714682,0.190441,0.798703,0.615444,0.985961,0.049494,0.612405,0.838603,0.86401,0.476572,4,1
87,'2020/04/15 17:22:39:971',2,0.827256,0.804414,0.303189,0,0.556825,0.067,0.714682,0.190441,0.798703,0.615444,0.985961,0.049494,0.612405,0.838603,0.86401,0.476572,4,1
88,'2020/04/15 17:22:40:006',2,0.827256,0.804414,0.303189,0,0.556825,0.067,0.714682,0.190441,0.798703,0.615444,0.985961,0.049494,0.612405,0.838603,0.86401,0.476572,4,1
89,'2020/04/15 17:22:40:033',2,0.827256,0.804414,0.303189,0,0.556825,0.067,0.714682,0.190441,0.798703,0.615444,0.985961,0.049494,0.612405,0.838603,0.86401,0.476572,4,1
90,'2020/04/15 17:22:40:071',2,0.827256,0.804414,0.303189,0,0.556825,0.067,0.714682,0.190441,0.798703,0.615444,0.985961,0.049494,0.612405,0.838603,0.86401,0.476572,4,1
91,'2020/04/15 17:22:40:100',2,0.831387,0.804414,357.942261,0,0.556825,0.067,0.714682,0.190441,0.798703,0.615444,0.985961,0.049494,0.612405,0.838603,0.86401,0.476572,4,1
92,'2020/04/15 17:22:40:133',2,0.831387,0.804414,357.942261,0,0.556825,0.067,0.714682,0.190441,0.798703,0.615444,0.985961,0.049494,0.612405,0.838603,0.86401,0.476572,4,1
93,'2020/04/15 17:22:40:166',2,0.831387,0.804414,1.292972,0,0.556825,0.067,0.714682,0.190441,0.798703,0.615444,0.985961,0.049494,0.612405,0.838603,0.86401,0.476572,4,1
94,'2020/04/15 17:22:40:195',2,0.831387,0.804414,1.292972,0,0.556825,0.067,0.714682,0.190441,0.798703,0.615444,0.985961,0.049494,0.612405,0.838603,0.86401,0.476572,4,1
95,'2020/04/15 17:22:40:229',2,0.831387,0.804414,1.292972,0,0.556825,0.067,0.714682,0.190441,0.798703,0.615444,0.985961,0.049494,0.612405,0.838603,0.86401,0.476572,4,1
96,'2020/04/15 17:22:40:258',2,0.831387,0.804414,1.292972,0,0.556825,0.067,0.714682,0.190441,0.798703,0.615444,0.985961,0.049494,0.612405,0.838603,0.86401,0.476572,4,1
97,'2020/04/15 17:22:40:293',2,0.831387,0.804414,1.292972,0,0.556825,0.067,0.714682,0.190441,0.798703,0.615444,0.985961,0.049494,0.612405,0.838603,0.86401,0.476572,4,1
98,'2020/04/15 17:22:40:323',2,0.829737,0.804414,1.292972,0,0.556825,0.067,0.714682,0.190441,0.798703,0.615444,0.985961,0.049494,0.612405,0.838603,0.86401,0.476572,4,1
99,'2020/04/15 17:22:40:359',2,0.829737,0.806563,1.292972,0,0.556825,0.067,0.714682,0.190441,0.798703,0.615444,0.985961,0.049494,0.612405,0.838603,0.86401,0.476572,4,1
